Name,Code,ICAO
CHC Helicopters Nigeria,,ATQ
CHC Helikopter Service,,HKS
CHC International,,GCY
Chengdu Airlines,EU,UEA
Chervon,,GLH
Chicago Jet Group,,WDY
China - Air Force,,CKJ
China - Civil Aviation Administration,,CFI
China Airlines,CI,CAL
China Cargo Airlines,CK,CKK
China Eastern Airlines,MU,CES
China Express Airlines,G5,HXA
China Postal Airlines,CF,CYZ
China Southern Airlines,CZ,CSN
China Southern Cargo,,CSG
China United Airlines,KN,CUA
Chodang University,,CDQ
Chongqing Airlines,OQ,CQN
Chrono Aviation,MB,NDL
Chrono Jet,MB,MBK
Cinnamon Air,C7,CIN
Circadian Aviation,,CYC
CITIC Offshore Helicopter,,CHC
Citilink,QG,CTV
CityJet,WX,BCY
Civil Air Patrol,,CAP
Class Aviation,,DUC
Clay Lacy Aviation,,CLY
Clic,VE,EFY
ClipperJet,,ORO
Club Jet Charter,CE,CUJ
CM Airlines,H5,OMT
CMA CGM Air Cargo,2C,CMA
Coastal Aviation,CQ,CSV
Cobalt Air,CO,FCB
Cobham Aviation Services Australia,,NJS
Colombia - Air Force,,FAC
Colorful Guizhou Airlines,GY,CGZ
Comlux,,CLA
Comlux Aruba,CS,CXB
Comlux Kazakhstan,,KAZ
Comlux Malta,,MLM
CommuteAir,C5,UCA
Compagnia Aeronautica Italiana,,CPI
Compass Air Cargo,HQ,ADZ
Conair,,FGD
Condor,DE,CFG
Congo Airways,8Z,CGA
Conquest Air,C4,QAI
Constanta Airline,,UZA
Contour Aviation,LF,VTE
Conviasa,V0,VCV
Copa Airlines,CM,CMP
Copenhagen Airtaxi,,CAT
Corendon Airlines,XC,CAI
Corendon Airlines Europe,XR,CXI
Corendon Dutch Airlines,CD,CND
Corporate Air,,CPT
Corporate Air,,MLN
Corporate Jet,,PHJ
Corsair,SS,CRL
Costa Rica - Ministry of Public Security,,MSP
Costa Rica Green Airways,GW,CRG
Coulson Aviation,,CUL
Cristalux,7Z,AUZ
Croatia - Air Force,,HRZ
Croatia Airlines,OU,CTN
Cronos Airlines,C8,CRA
Cronos Airlines Benin,,CKL
Cross Aviation,,CRX
Crown Airlines,FQ,CWN
Crystal Air,,CYT
CSA Air,,IRO
CSI Aviation,,CSI
CSM Aviation,,TOG
CTP Aviation,,CTP
Cubana,CU,CUB
Cygnus Air,,RGN
Cyprus Airways,CY,CYP
Czechia - Air Force,,CEF
Czechia - Government,,CIE
Daallo Airlines,D3,DAO
Dalian Airlines,,CCD
Dan Air,DN,DNA
Dana Air,9J,DAN
DAS Private Jets,,DWW
Dassault Falcon Service,,DSO
DAT,DX,DTR
DAT LT,R6,DNU
DB Aviation,,DBT
DC Aviation,,DCW
DC Aviation,,DCS
DC Aviation San Marino,,DCU
De Havilland Canada,,DHC
DEA Aviation,,WKT
Deer Jet,,DER
Deer Jet Beijing,,BDJ
Delta Air Lines,DL,DAL
Delta State University Aviation,,DSU
Denmark - Army,,DAR
Denmark - Navy,,DNY
Denmark -Air Force,,DAF
Desert Jet,,DJR
Desert Wings Aviation,,DWA
DesertAir Alaska,,DAZ
Deucalion Aviation,,DLN
Dexter Air Taxi,,DXT
DHL Aero Expreso,D5,DAE
DHL Air,D0,DHK
DHL Air Austria,Q7,DHA
